Date,Close,Predictions
2021-01-04,522.86,482.95477
2021-01-05,520.8,483.83826
2021-01-06,500.49,483.5437
2021-01-07,508.89,479.97333
2021-01-08,510.4,476.72238
2021-01-11,499.1,474.26688
2021-01-12,494.25,471.08765
2021-01-13,507.79,467.5467
2021-01-14,500.86,466.27032
2021-01-15,497.98,465.23825
2021-01-19,501.77,464.1726
2021-01-20,586.34,463.77106
2021-01-21,579.84,475.13885
2021-01-22,565.17,488.72525
2021-01-25,556.78,499.22906
2021-01-26,561.93,505.40442
2021-01-27,523.28,509.15555
2021-01-28,538.6,505.76743
2021-01-29,532.39,502.01392
2021-02-01,539.04,497.7281
2021-02-02,548.16,494.97418
2021-02-03,539.45,494.6901
2021-02-04,552.16,494.47684
2021-02-05,550.79,496.21817
2021-02-08,547.92,498.32535
2021-02-09,559.07,499.90515
2021-02-10,563.59,502.5045
2021-02-11,557.59,505.65146
2021-02-12,556.52,507.6798
2021-02-16,557.28,508.745
2021-02-17,551.34,509.27145
2021-02-18,548.22,508.6381
2021-02-19,540.22,507.20468
2021-02-22,533.78,504.58374
2021-02-23,546.15,501.05362
2021-02-24,553.41,499.4285
2021-02-25,546.7,499.87253
2021-02-26,538.85,500.29694
2021-03-01,550.64,499.65906
2021-03-02,547.82,500.27316
2021-03-03,520.7,500.85992
2021-03-04,511.29,497.6796
2021-03-05,516.39,492.18402
2021-03-08,493.33,487.20566
2021-03-09,506.44,480.10956
2021-03-10,504.54,475.15295
2021-03-11,523.06,471.64008
2021-03-12,518.02,471.93518
2021-03-15,520.25,473.16632
2021-03-16,524.03,474.97952
2021-03-17,524.44,477.2023
2021-03-18,504.79,479.21155
2021-03-19,512.18,478.06332
2021-03-22,523.11,476.7043
2021-03-23,535.09,476.81802
2021-03-24,520.81,479.1467
2021-03-25,502.86,480.14038
2021-03-26,508.05,478.04126
2021-03-29,513.95,475.6321
2021-03-30,513.39,474.18915
2021-03-31,521.66,473.3383
2021-04-01,539.42,474.06378
2021-04-05,540.67,477.77676
2021-04-06,544.53,482.3489
2021-04-07,546.99,487.10538
2021-04-08,554.58,491.44147
2021-04-09,555.31,495.84375
2021-04-12,552.78,499.5628
2021-04-13,553.73,501.99307
2021-04-14,540.02,503.56854
2021-04-15,549.22,502.62268
2021-04-16,546.54,502.04694
2021-04-19,554.44,501.32147
2021-04-20,549.57,501.81107
2021-04-21,508.9,502.11685
2021-04-22,508.78,496.86465
2021-04-23,505.55,490.21265
2021-04-26,510.3,483.50357
2021-04-27,505.55,478.55856
2021-04-28,506.52,474.6175
2021-04-29,509.0,472.00577
2021-04-30,513.47,470.7788
2021-05-03,509.11,470.97586
2021-05-04,503.18,471.15732
2021-05-05,496.08,470.48425
2021-05-06,499.55,468.53082
2021-05-07,503.84,466.73932
2021-05-10,486.69,465.8116
2021-05-11,495.08,463.0754
2021-05-12,484.98,461.1694
2021-05-13,486.66,458.49915
2021-05-14,493.37,456.19513
2021-05-17,488.94,455.3052
2021-05-18,486.28,454.57983
2021-05-19,487.7,453.72083
2021-05-20,501.67,453.11957
2021-05-21,497.89,454.57996
2021-05-24,502.9,456.1565
2021-05-25,501.34,458.23212
2021-05-26,502.36,459.92825
2021-05-27,503.86,461.29312
2021-05-28,502.81,462.4471
2021-06-01,499.08,463.1468
2021-06-02,499.24,463.0189
2021-06-03,489.43,462.57016
2021-06-04,494.74,460.7231
2021-06-07,494.66,459.3158
2021-06-08,492.39,458.3034
2021-06-09,485.81,457.36942
2021-06-10,487.27,455.77545
2021-06-11,488.77,454.37674
2021-06-14,499.89,453.4828
2021-06-15,491.9,454.46524
2021-06-16,492.41,455.02948
2021-06-17,498.34,455.436
2021-06-18,500.77,456.46704
2021-06-21,497.0,457.89246
2021-06-22,508.82,458.74066
2021-06-23,512.74,460.78815
2021-06-24,518.06,463.50055
2021-06-25,527.07,466.7879
2021-06-28,533.03,470.99252
2021-06-29,533.5,475.68573
2021-06-30,528.21,479.86597
2021-07-01,533.54,482.3995
2021-07-02,533.98,484.50153
2021-07-06,541.64,486.0748
2021-07-07,535.96,488.2101
2021-07-08,530.76,489.46857
2021-07-09,535.98,489.50095
2021-07-12,537.31,489.73083
2021-07-13,540.68,490.18503
2021-07-14,547.95,491.16672
2021-07-15,542.95,493.23752
2021-07-16,530.31,494.7789
2021-07-19,532.28,494.17276
2021-07-20,531.05,493.0278
2021-07-21,513.63,491.62103
2021-07-22,511.77,487.99146
2021-07-23,515.41,483.82138
2021-07-26,516.49,480.57983
2021-07-27,518.91,478.4458
2021-07-28,519.3,477.53555
2021-07-29,514.25,477.40216
2021-07-30,517.57,476.96878
2021-08-02,515.15,476.9286
2021-08-03,510.82,476.6866
2021-08-04,517.35,475.79276
2021-08-05,524.89,475.61932
2021-08-06,520.55,476.7546
2021-08-09,519.97,477.67227
2021-08-10,515.84,478.28848
2021-08-11,512.4,478.0813
2021-08-12,510.72,477.065
2021-08-13,515.92,475.61414
2021-08-16,517.92,474.90372
2021-08-17,518.91,474.8957
2021-08-18,521.87,475.36
2021-08-19,543.71,476.37546
2021-08-20,546.88,480.42218
2021-08-23,553.33,485.5014
2021-08-24,553.41,491.104
2021-08-25,547.58,495.96875
2021-08-26,550.12,498.8648
2021-08-27,558.92,500.72403
2021-08-30,566.18,502.94803
2021-08-31,569.19,505.9116
2021-09-01,582.07,509.1317
2021-09-02,588.55,513.72046
2021-09-03,590.53,519.0025
2021-09-07,606.71,523.9911
2021-09-08,606.05,530.23425
2021-09-09,597.54,535.8002
2021-09-10,598.72,538.99994
2021-09-13,589.29,540.82153
2021-09-14,577.76,540.40924
2021-09-15,582.87,537.5899
2021-09-16,586.5,534.97504
2021-09-17,589.35,533.3923
2021-09-20,575.43,533.0002
2021-09-21,573.14,531.38446
2021-09-22,590.65,529.3405
2021-09-23,593.26,529.84814
2021-09-24,592.39,531.6675
2021-09-27,592.64,533.6916
2021-09-28,583.85,535.5133
2021-09-29,599.06,535.70557
2021-09-30,610.34,537.23706
2021-10-01,613.15,540.4994
2021-10-04,603.35,544.31525
2021-10-05,634.81,546.3936
2021-10-06,639.1,551.7103
2021-10-07,631.85,557.88855
2021-10-08,632.66,562.4282
2021-10-11,627.04,565.6268
2021-10-12,624.94,566.86206
2021-10-13,629.76,566.75653
2021-10-14,633.8,566.75037
2021-10-15,628.29,567.3393
2021-10-18,637.97,567.37555
2021-10-19,639.0,568.60034
2021-10-20,625.14,570.24646
2021-10-21,653.16,569.9494
2021-10-22,664.78,572.8206
2021-10-25,671.66,577.9637
2021-10-26,668.52,584.16406
2021-10-27,662.92,589.30914
2021-10-28,674.05,592.3424
2021-10-29,690.31,595.4467
2021-11-01,681.17,600.1426
2021-11-02,677.72,603.34985
2021-11-03,688.29,605.0055
2021-11-04,668.4,607.1704
2021-11-05,645.72,606.35944
2021-11-08,651.45,601.5009
2021-11-09,655.99,596.6811
2021-11-10,646.91,593.26965
2021-11-11,657.58,589.8741
2021-11-12,682.61,588.7162
2021-11-15,679.33,592.1444
2021-11-16,687.4,596.41583
2021-11-17,691.69,601.5296
2021-11-18,682.02,606.6029
2021-11-19,678.8,609.34955
2021-11-22,659.2,610.1722
2021-11-23,654.06,607.2518
2021-11-24,658.29,602.6194
2021-11-26,665.64,598.6139
2021-11-29,663.84,596.5751
2021-11-30,641.9,595.53046
2021-12-01,617.77,592.2006
2021-12-02,616.47,585.355
2021-12-03,602.13,578.1092
2021-12-06,612.69,569.9081
2021-12-07,625.58,564.25397
2021-12-08,628.08,562.37854
2021-12-09,611.0,562.8146
2021-12-10,611.66,561.8967
2021-12-13,604.56,560.7257
2021-12-14,597.99,558.5452
2021-12-15,605.04,555.35767
2021-12-16,591.06,553.19446
2021-12-17,586.73,549.83057
2021-12-20,593.74,546.00275
2021-12-21,604.92,543.55066
2021-12-22,614.24,543.5785
2021-12-23,614.09,545.92145
2021-12-27,613.12,548.83716
2021-12-28,610.71,551.3738
2021-12-29,610.54,552.9304
2021-12-30,612.09,553.7108
2021-12-31,602.44,554.1652
2022-01-03,597.37,553.0317
2022-01-04,591.15,550.7525
2022-01-05,567.52,547.5158
2022-01-06,553.29,541.2221
2022-01-07,541.06,532.8671
2022-01-10,539.85,523.4
2022-01-11,540.84,514.93494
